date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:17	596/596	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-254%22	https://cleanservice.com.au/resources/pic/t/t64.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t64.png	(from https://cleanservice.com.au/contact)
12:19:17	583/583	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-247%22	https://cleanservice.com.au/resources/pic/t/t65.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t65.png	(from https://cleanservice.com.au/contact)
12:19:18	512/512	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-200%22	https://cleanservice.com.au/resources/pic/t/t63.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t63.png	(from https://cleanservice.com.au/contact)
12:19:19	1431/1431	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-597%22	https://cleanservice.com.au/resources/pic/t/t94.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t94.png	(from https://cleanservice.com.au/contact)
12:19:20	2750/2750	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-abe%22	https://cleanservice.com.au/resources/pic/main/sent_message.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/sent_message.png	(from https://cleanservice.com.au/contact)
12:19:23	50182/50182	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-c406%22	https://cleanservice.com.au/resources/pic/pledge/contactangel4.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/pledge/contactangel4.png	(from https://cleanservice.com.au/contact)
12:19:23	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2011%20Jan%202021%2010:19:54%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/EcoGenies/www.google.com/recaptcha/api.js	(from https://cleanservice.com.au/contact)
12:19:24	3462/3462	---MCZ	200	added ('OK')	application/javascript	etag:W/%225edb6ff5-d86%22	https://cleanservice.com.au/resources/js/form.js	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/js/form.js	(from https://cleanservice.com.au/contact)
12:19:24	3/3	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2010:19:55%20GMT	https://cleanservice.com.au/Privacy-18May2016.pdf	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/Privacy-18May2016.pdf	(from https://cleanservice.com.au/privacy)
12:19:24	3/3	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2010:19:56%20GMT	https://cleanservice.com.au/Terms-18May2016.pdf	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/Terms-18May2016.pdf	(from https://cleanservice.com.au/terms)
12:19:28	44094/44094	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-ac3e%22	https://cleanservice.com.au/resources/pic/main/followpp.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/followpp.png	(from https://cleanservice.com.au/payment-methods)
12:19:30	29570/29570	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-7382%22	https://cleanservice.com.au/resources/pic/main/paynow.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/paynow.png	(from https://cleanservice.com.au/payment-methods)
12:19:30	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2011%20Jan%202021%2010:20:00%20GMT	https://cleanservice.com.au/cleaning-services	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/cleaning-services.6d.delayed	(from https://cleanservice.com.au/insured-cleaning-service)
12:19:30	3/3	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:20:01%20GMT	https://cleanservice.com.au/404	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/404.html	(from https://cleanservice.com.au/insured-cleaning-service)
12:19:31	3/3	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2010:20:02%20GMT	https://cleanservice.com.au/<br%20/><b>Notice</b>:%20%20Undefined%20variable:%20r1%20in%20<b>/home/admin/web/cleanservice.com.au/public_html/pages/answer.php</b>%20on%20line%20<b>1</b><br%20/>	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/_br/__b_Notice_/b__%20%20Undefined%20variable_%20r1%20in%20_b_/home/admin/web/cleanservice.com.au/public_html/pages/answer.php_/b_%20on%20line%20_b_1_/b__br/_	(from https://cleanservice.com.au/insured-cleaning-service)
12:19:31	3/3	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2010:20:02%20GMT	https://cleanservice.com.au/<br%20/><b>Notice</b>:%20%20Undefined%20variable:%20r2%20in%20<b>/home/admin/web/cleanservice.com.au/public_html/pages/answer.php</b>%20on%20line%20<b>1</b><br%20/>	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/_br/__b_Notice_/b__%20%20Undefined%20variable_%20r2%20in%20_b_/home/admin/web/cleanservice.com.au/public_html/pages/answer.php_/b_%20on%20line%20_b_1_/b__br/_	(from https://cleanservice.com.au/insured-cleaning-service)
